Ref_Date,GEO,Geographical classification,STA,Vector,Coordinate,Value
2009,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,-2.52
2010,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,-4.77
2011,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,-11.32
2012,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,4.68
2013,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,13.72
2014,Yukon,60,Percent change in non-violent crime severity index,v66460511,1.6,-1.74
1998,Yukon,60,Youth crime severity index,v66460512,1.7,252.18
1999,Yukon,60,Youth crime severity index,v66460512,1.7,241.66
2000,Yukon,60,Youth crime severity index,v66460512,1.7,312.97
2001,Yukon,60,Youth crime severity index,v66460512,1.7,319.82
2002,Yukon,60,Youth crime severity index,v66460512,1.7,324.47
2003,Yukon,60,Youth crime severity index,v66460512,1.7,291.47
2004,Yukon,60,Youth crime severity index,v66460512,1.7,245.14
2005,Yukon,60,Youth crime severity index,v66460512,1.7,266.52
2006,Yukon,60,Youth crime severity index,v66460512,1.7,272.58
2007,Yukon,60,Youth crime severity index,v66460512,1.7,297.59
2008,Yukon,60,Youth crime severity index,v66460512,1.7,253.37
2009,Yukon,60,Youth crime severity index,v66460512,1.7,297.39
2010,Yukon,60,Youth crime severity index,v66460512,1.7,229.58
2011,Yukon,60,Youth crime severity index,v66460512,1.7,144.97
2012,Yukon,60,Youth crime severity index,v66460512,1.7,174.62
2013,Yukon,60,Youth crime severity index,v66460512,1.7,182.86
2014,Yukon,60,Youth crime severity index,v66460512,1.7,193.4
1998,Yukon,60,Percent change in youth crime severity index,v66460513,1.8,0
1999,Yukon,60,Percent change in youth crime severity index,v66460513,1.8,-4.17
2000,Yukon,60,Percent change in youth crime severity index,v66460513,1.8,29.51
2001,Yukon,60,Percent change in youth crime severity index,v66460513,1.8,2.19
2002,Yukon,60,Percent change in youth crime severity index,v66460513,1.8,1.45
2003,Yukon,60,Percent change in youth crime severity index,v66460513,1.8,-10.17
2004,Yukon,60,Percent change in youth crime severity index,v66460513,1.8,-15.9
2005,Yukon,60,Percent change in youth crime severity index,v66460513,1.8,8.72
2006,Yukon,60,Percent change in youth crime severity index,v66460513,1.8,2.27
2007,Yukon,60,Percent change in youth crime severity index,v66460513,1.8,9.18
2008,Yukon,60,Percent change in youth crime severity index,v66460513,1.8,-14.86
2009,Yukon,60,Percent change in youth crime severity index,v66460513,1.8,17.37
2010,Yukon,60,Percent change in youth crime severity index,v66460513,1.8,-22.8
2011,Yukon,60,Percent change in youth crime severity index,v66460513,1.8,-36.85
2012,Yukon,60,Percent change in youth crime severity index,v66460513,1.8,20.45
2013,Yukon,60,Percent change in youth crime severity index,v66460513,1.8,4.72
2014,Yukon,60,Percent change in youth crime severity index,v66460513,1.8,5.76
1998,Yukon,60,Youth violent crime severity index,v66460514,1.9,83.32
1999,Yukon,60,Youth violent crime severity index,v66460514,1.9,173.8
2000,Yukon,60,Youth violent crime severity index,v66460514,1.9,163.09
2001,Yukon,60,Youth violent crime severity index,v66460514,1.9,194.78
2002,Yukon,60,Youth violent crime severity index,v66460514,1.9,173.25
2003,Yukon,60,Youth violent crime severity index,v66460514,1.9,163.14
2004,Yukon,60,Youth violent crime severity index,v66460514,1.9,152.43
2005,Yukon,60,Youth violent crime severity index,v66460514,1.9,112.21
2006,Yukon,60,Youth violent crime severity index,v66460514,1.9,189.54
2007,Yukon,60,Youth violent crime severity index,v66460514,1.9,159.23
2008,Yukon,60,Youth violent crime severity index,v66460514,1.9,159.58
2009,Yukon,60,Youth violent crime severity index,v66460514,1.9,259.93
2010,Yukon,60,Youth violent crime severity index,v66460514,1.9,171.7
2011,Yukon,60,Youth violent crime severity index,v66460514,1.9,91.21
2012,Yukon,60,Youth violent crime severity index,v66460514,1.9,140.69
2013,Yukon,60,Youth violent crime severity index,v66460514,1.9,84.95
2014,Yukon,60,Youth violent crime severity index,v66460514,1.9,172.89
1998,Yukon,60,Percent change in youth violent crime severity index,v66460515,1.1,0
1999,Yukon,60,Percent change in youth violent crime severity index,v66460515,1.1,108.59
2000,Yukon,60,Percent change in youth violent crime severity index,v66460515,1.1,-6.16
